timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Artist Statement,I felt in touch with the energy inside my soul and spoke with that force driving me. Community is an integral part of life and I am thankful for the opportunity to share. I hope to inspire others to connect with those around them and really feel the energy that exists within every single one of us.,,,,
,,"I think it's important for student voices to be heard because sometimes academic institutions can become more focused on pulling in tuition money and expanding than maintaining the wellbeing of students. Representation of student voices, identities, and values is important for the reclamation of academic spaces.",,,,
[00:00:00],Caro,My name is Caro and my pronouns are they/them.,student,,0,0:00:00
[00:00:07],Caro,How do you define community?,question,,7,0:00:07
[00:00:10],Caro,I define community as a superorganism,community,,10,0:00:10
[00:00:14],Caro,because that's what we are.,community,,14,0:00:14
[00:00:16],Caro,We're all from the same energy.,community,,16,0:00:16
[00:00:18],Caro,"And I feel when we share a sense of community, we",community,,18,0:00:18
[00:00:22],Caro,are tapping back into that consecutive energy that we all share,community,,22,0:00:22
[00:00:26],Caro,and we all come from in a more human perspective.,community,,26,0:00:26
[00:00:32],Caro,Community is support and expansion and building learning involving,community,,32,0:00:32
[00:00:40],Caro,it's being able to rely on one another and,community,,40,0:00:40
[00:00:46],Caro,get each other where you need to be.,community,,46,0:00:46
